Campaign,Impressions,Clicks,Click Rate (CTR)
87954126 - CPC - Standard,14963574,6448,0.04%
48795456 - CPM - Standard,966588,658,0.07%
48795456 - CPM - IBV,207094,95,0.05%
79845236 - CPC - Standard,354025,221,0.06%
59745236 - CPC - Standard,660416,893,0.14%
27894525 - CPM - IBV,829327,605,0.07%
98452365 - CPM - Standard,13690,14,0.10%
18795462 - CPM - Standard,737582,687,0.09%
68745125 - CPC - Standard,15800834,6576,0.04%
28745625 - CPC - Standard,735948,1699,0.23%
28745626 - CPC - Standard,774072,1380,0.18%
35874589 - CPM - Standard,836050,556,0.07%
29874565 - CPM - Standard,28591674,14999,0.05%
79541285 - CPM - Standard,273157,177,0.07%
54698745 - CPM - Standard,3755008,1439,0.04%
97458541 - CPM - Standard,5325,2,0.04%
97458541 - CPM - Mobile,2506,2,0.08%
55987412 - CPM - Standard,1061818,685,0.07%
18745236 - CPM - Standard,147521,107,0.07%
68745256 - CPM - Standard,2172920,966,0.04%
68745257 - CPM - Standard,1371059,643,0.05%
34875898 - CPM - Standard,368642,155,0.04%
22547895 - CPM - Standard,24001,9,0.04%
98758745 - CPM - Standard,244463,176,0.07%
89494654 - CPM - Standard,64069,33,0.05%
14785685 - CPM - Standard,1456833,467,0.03%
14785686 - CPM - Expandable,290160,10,0.00%
14785687 - CPM - Standard,3112610,1555,0.05%
14785688 - CPM - Expandable,522542,9,0.00%
38541254 – CPC - Standard,19806142,18467,0.09%
57845125 - CPM - Standard,160113,100,0.06%
68452145 - CPM - Standard,24958,20,0.08%
85412565 - CPM - Standard,1829596,1617,0.09%
64875425 - CPM - IBV,48281,30,0.06%
18795463 - CPM - IBV,14224,15,0.11%
47412565 - CPC - Standard,9247032,10723,0.12%
19874523 - CPM - Standard,365006,229,0.06%
29874565 - CPM - IBV,774420,372,0.05%
57485125 - CPM - IBV,32413,16,0.05%
58745211 - CPC - Standard,3067187,2371,0.08%
31458745 - CPM - Standard,110105,98,0.09%
84123658 - CPC - Standard,932579,1125,0.12%
73654125 - CPM - Standard,1052737,796,0.08%
73654126 - CPM - Standard,348322,171,0.05%
